2026-09-04 10:00:01 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-04 10:00:05 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-04 10:00:09 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-04 10:00:13 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-04 10:00:17 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-04 10:00:21 | 192.168.1.50 | SSH | SUCCESSFUL_LOGIN | root
2026-09-04 10:01:10 | 192.168.1.50 | SSH | COMMAND_EXECUTION | whoami
2026-09-04 10:01:20 | 192.168.1.50 | SSH | COMMAND_EXECUTION | wget suspicious-file2026-09-04 22:50:00 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 22:55:00 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:00:01 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:00:05 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:00:09 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:00:13 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:00:17 | 10.0.0.25 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:01 | 10.0.0.50 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:05 | 10.0.0.50 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:09 | 10.0.0.50 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:13 | 10.0.0.50 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:17 | 10.0.0.50 | SSH | FAILED_LOGIN | admin
2026-09-04 23:10:25 | 10.0.0.50 | SSH | SUCCESSFUL_LOGIN | admin
2026-09-04 23:10:30 | 10.0.0.50 | SSH | COMMAND_EXECUTION | whoami
2026-09-04 23:20:01 | 10.0.0.60 | SSH | FAILED_LOGIN | admin
2026-09-04 23:20:05 | 10.0.0.60 | SSH | FAILED_LOGIN | admin
2026-09-04 23:20:09 | 10.0.0.60 | SSH | FAILED_LOGIN | admin
2026-09-04 23:20:13 | 10.0.0.60 | SSH | FAILED_LOGIN | admin
2026-09-04 23:20:17 | 10.0.0.60 | SSH | FAILED_LOGIN | admin
2026-09-04 23:20:25 | 10.0.0.60 | SSH | SUCCESSFUL_LOGIN | admin
2026-09-04 23:20:30 | 10.0.0.60 | SSH | COMMAND_EXECUTION | whoami
2026-09-05 23:55:01 | 10.0.0.80 | SSH | FAILED_LOGIN | admin
2026-09-05 23:55:05 | 10.0.0.80 | SSH | FAILED_LOGIN | admin
2026-09-05 23:55:09 | 10.0.0.80 | SSH | FAILED_LOGIN | admin
2026-09-05 23:55:13 | 10.0.0.80 | SSH | FAILED_LOGIN | admin
2026-09-05 23:55:17 | 10.0.0.80 | SSH | FAILED_LOGIN | admin
2026-09-05 23:55:25 | 10.0.0.80 | SSH | SUCCESSFUL_LOGIN | admin
2026-09-05 23:55:30 | 10.0.0.80 | SSH | COMMAND_EXECUTION | whoami
2026-09-05 23:30:25 | 10.0.0.90 | SSH | SUCCESSFUL_LOGIN | admin
